GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
payin-service,com.payin,PayInApplication,5,3,0,0,2,1,1,1,1,1
payin-service,com.payin.infrastructure.adapter,PayInRepositoryAdapter,0,32,0,0,0,8,0,4,0,4
payin-service,com.payin.infrastructure.entity,PayInEntity,477,115,94,0,12,29,73,5,26,5
payin-service,com.payin.infrastructure.entity,PayInEntity.PayInEntityBuilder,29,84,0,0,0,1,1,13,1,13
payin-service,com.payin.domain.model,PayIn.PayInStatus,0,27,0,0,0,5,0,1,0,1
payin-service,com.payin.domain.model,Account.AccountBuilder,105,0,0,0,1,0,13,0,13,0
payin-service,com.payin.domain.model,PaymentMethod.PaymentMethodBuilder,103,0,0,0,1,0,13,0,13,0
payin-service,com.payin.domain.model,PaymentMethod,450,0,78,0,14,0,66,0,27,0
payin-service,com.payin.domain.model,PaymentProvider.PaymentProviderBuilder,102,0,0,0,1,0,13,0,13,0
payin-service,com.payin.domain.model,Customer,462,0,82,0,14,0,68,0,27,0
payin-service,com.payin.domain.model,Customer.CustomerBuilder,102,0,0,0,1,0,13,0,13,0
payin-service,com.payin.domain.model,PayIn,415,236,94,22,1,49,55,39,8,28
payin-service,com.payin.domain.model,PayIn.PayInBuilder,29,84,0,0,0,1,1,13,1,13
payin-service,com.payin.domain.model,Account,465,0,82,0,14,0,68,0,27,0
payin-service,com.payin.domain.model,PaymentProvider,445,0,76,0,14,0,65,0,27,0
payin-service,com.payin.domain.service,PayInService,0,101,0,0,0,20,0,9,0,9
payin-service,com.payin.interfaces.rest.dto,PayInResponse,446,110,94,0,2,26,63,14,16,14
payin-service,com.payin.interfaces.rest.dto,PayInResponse.PayInResponseBuilder,28,84,0,0,0,1,1,13,1,13
payin-service,com.payin.interfaces.rest.dto,CreatePayInRequest,198,38,46,0,0,6,27,11,4,11
payin-service,com.payin.interfaces.rest,PayInController,0,78,0,0,0,18,0,7,0,7
payin-service,com.payin.domain.exceptions,DomainException,8,10,0,0,3,4,1,2,1,2
